,product_name,quantity,price,image
41,The Regenerating Serum,30.0,425.0,https://cremedelamer.com/media/export/cms/products/responsive/lm_sku_5R0P01_4x5_0.png?width=900&height=1125
42,The Renewal Oil,15.0,150.0,https://cremedelamer.com/media/export/cms/products/responsive/lm_sku_4HKJ01_4x5_0.png?width=900&height=1125
43,The Renewal Oil Exfoliator,100.0,140.0,https://cremedelamer.com/media/export/cms/products/responsive/lm_sku_5PWC01_4x5_0.png?width=900&height=1125
44,The Resurfacing Treatment,100.0,145.0,https://cremedelamer.com/media/export/cms/products/responsive/lm_sku_5PLF01_4x5_0.png?width=900&height=1125
45,The Revitalizing Hydrating Serum,30.0,265.0,https://cremedelamer.com/media/export/cms/products/responsive/lm_sku_5CRG01_4x5_0.png?width=900&height=1125
46,The Revitalizing Mist,100.0,90.0,https://cremedelamer.com/media/export/cms/products/responsive/lm_sku_5WLC01_4x5_0.png?width=900&height=1125
47,The Treatment Lotion,100.0,130.0,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_407W01_4x5_0.png?width=900&height=1125
48,The Treatment Lotion,150.0,190.0,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_407W01_4x5_0.png?width=900&height=1125
49,The Treatment Lotion,200.0,225.0,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_407W01_4x5_0.png?width=900&height=1125
50,The Treatment Lotion Hydrating Mask,0.0,195.0,https://cremedelamer.com/media/export/cms/products/responsive/lm_sku_5PE901_4x5_0.png?width=900&height=1125
51,The Lip Balm,10.0,80.0,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_5X2101_4x5_0.png?width=900&height=1125
